                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1606,                 2.2255,                 1.2217,                0.40619,                0.48482,                0.40548,                0.29051,                 1.0223,                 1.8296,                 1.2069,              0.0001382,              0.0001382,              0.0001382
                      2,                0.88266,                 1.0538,                 1.0716,                0.53382,                0.61406,                0.60626,                0.44329,                 0.9645,                 1.3132,                 1.1928,             0.00027445,             0.00027445,             0.00027445
                      3,                0.80918,                0.81207,                 1.0326,                0.66448,                0.69197,                0.72179,                0.53852,                0.94118,                 1.0915,                 1.1762,             0.00040796,             0.00040796,             0.00040796
                      4,                0.74594,                0.68701,                 1.0042,                0.65033,                 0.7114,                0.74205,                0.55745,                0.93133,                   1.06,                 1.1384,             0.00040462,             0.00040462,             0.00040462
                      5,                0.70112,                0.62446,                0.97604,                0.72649,                0.71304,                0.77436,                0.57449,                0.95306,                0.96253,                 1.1657,             0.00040049,             0.00040049,             0.00040049
                      6,                0.69133,                0.58859,                0.96906,                0.67039,                0.73224,                0.78101,                0.59258,                0.88934,                0.95912,                 1.1125,             0.00039636,             0.00039636,             0.00039636
                      7,                0.65007,                0.53117,                 0.9506,                0.76574,                0.77889,                0.83904,                0.64867,                0.87513,                0.84794,                  1.099,             0.00039223,             0.00039223,             0.00039223
                      8,                0.63288,                0.50288,                0.94706,                0.77657,                0.73248,                0.81836,                0.63057,                0.86256,                0.85586,                 1.0861,              0.0003881,              0.0003881,              0.0003881
                      9,                0.61329,                0.47402,                0.93318,                0.74352,                0.76244,                0.82718,                0.63879,                0.86874,                0.85295,                 1.0841,             0.00038397,             0.00038397,             0.00038397
                     10,                0.60213,                0.46452,                0.92938,                0.78758,                0.75073,                0.84862,                0.65893,                0.85618,                 0.7765,                 1.0701,             0.00037985,             0.00037985,             0.00037985
                     11,                0.58995,                0.44228,                0.92766,                0.77625,                0.78747,                0.86257,                0.67043,                0.85393,                0.78601,                 1.0687,             0.00037572,             0.00037572,             0.00037572
                     12,                0.56987,                 0.4263,                0.91803,                0.78067,                0.80663,                0.85617,                0.66525,                0.87428,                0.72304,                 1.0669,             0.00037159,             0.00037159,             0.00037159
                     13,                0.55649,                0.40847,                 0.9133,                0.81998,                0.80397,                0.86125,                0.67325,                0.84642,                0.71518,                 1.0613,             0.00036746,             0.00036746,             0.00036746
                     14,                0.55318,                0.41027,                0.91199,                0.81872,                0.79212,                0.87898,                0.68862,                0.83901,                0.71574,                 1.0511,             0.00036333,             0.00036333,             0.00036333
                     15,                0.54333,                0.39907,                0.91046,                0.79192,                0.79351,                  0.876,                0.67961,                0.85816,                0.73768,                 1.0697,              0.0003592,              0.0003592,              0.0003592
                     16,                0.54004,                0.38786,                0.91266,                0.84522,                0.79039,                0.89156,                0.69508,                0.84845,                0.65958,                 1.0491,             0.00035508,             0.00035508,             0.00035508
                     17,                0.53035,                0.37724,                0.90394,                0.80499,                 0.7914,                0.87606,                0.68552,                0.85348,                0.69502,                  1.065,             0.00035095,             0.00035095,             0.00035095
                     18,                0.52188,                0.36889,                0.89832,                 0.8499,                0.85058,                0.90505,                0.71237,                0.84381,                0.58994,                 1.0414,             0.00034682,             0.00034682,             0.00034682
                     19,                0.51402,                0.35921,                0.89504,                0.83862,                0.83947,                0.90258,                0.71073,                0.84642,                0.62043,                 1.0489,             0.00034269,             0.00034269,             0.00034269
                     20,                0.50239,                0.35263,                0.89148,                0.87402,                0.85505,                0.92504,                0.72728,                0.84353,                 0.5719,                 1.0504,             0.00033856,             0.00033856,             0.00033856
                     21,                0.51102,                0.35397,                0.89835,                0.83736,                0.84673,                 0.9021,                0.70831,                0.85523,                0.62568,                 1.0785,             0.00033443,             0.00033443,             0.00033443
                     22,                0.49828,                0.34627,                0.89225,                0.84892,                0.81542,                0.90057,                0.70955,                0.83985,                0.61528,                 1.0536,             0.00033031,             0.00033031,             0.00033031
                     23,                0.49802,                0.34388,                0.89178,                0.84632,                 0.8347,                0.91354,                0.72214,                0.82293,                0.60524,                 1.0225,             0.00032618,             0.00032618,             0.00032618
                     24,                0.48824,                0.33829,                0.88897,                0.85223,                 0.8445,                0.91284,                0.71994,                0.82306,                0.59255,                 1.0466,             0.00032205,             0.00032205,             0.00032205
                     25,                0.48751,                0.34066,                 0.8926,                0.87019,                 0.8424,                0.91859,                0.72661,                0.82519,                0.59291,                 1.0476,             0.00031792,             0.00031792,             0.00031792
                     26,                0.47754,                0.32744,                0.88366,                0.88494,                0.83494,                 0.9224,                0.73079,                0.82985,                0.56125,                 1.0338,             0.00031379,             0.00031379,             0.00031379
                     27,                0.47396,                0.32363,                 0.8853,                0.84692,                 0.8512,                  0.907,                0.71868,                0.82391,                0.58737,                 1.0571,             0.00030966,             0.00030966,             0.00030966
                     28,                0.47353,                0.32118,                0.88626,                 0.8463,                 0.8507,                0.91487,                0.72631,                0.82677,                 0.5652,                 1.0305,             0.00030554,             0.00030554,             0.00030554
                     29,                0.46887,                0.31155,                0.88558,                0.84671,                0.86632,                 0.9183,                0.72731,                0.82012,                0.55424,                 1.0467,             0.00030141,             0.00030141,             0.00030141
                     30,                0.46272,                0.31311,                0.88025,                0.88192,                0.86228,                0.92801,                0.73671,                0.82543,                0.53857,                 1.0282,             0.00029728,             0.00029728,             0.00029728
                     31,                0.46223,                0.30676,                 0.8771,                0.85451,                0.88242,                0.92808,                0.73506,                0.81614,                0.53672,                 1.0204,             0.00029315,             0.00029315,             0.00029315
                     32,                0.46339,                0.30845,                0.87841,                0.87936,                0.86101,                0.92855,                0.74066,                0.81654,                 0.5163,                 1.0229,             0.00028902,             0.00028902,             0.00028902
                     33,                 0.4455,                0.29685,                0.87074,                0.90137,                0.84195,                0.93039,                0.74167,                0.81019,                0.51698,                 1.0292,             0.00028489,             0.00028489,             0.00028489
                     34,                 0.4513,                0.29592,                0.87472,                0.87922,                0.84104,                0.91336,                0.72951,                 0.8086,                0.55604,                 1.0339,             0.00028077,             0.00028077,             0.00028077
                     35,                0.45226,                0.29304,                0.87523,                0.85211,                0.86156,                0.91987,                0.73248,                0.80633,                0.55293,                 1.0151,             0.00027664,             0.00027664,             0.00027664
                     36,                0.44624,                0.29667,                0.87927,                0.88076,                0.82997,                0.90885,                  0.724,                0.80466,                0.57989,                 1.0204,             0.00027251,             0.00027251,             0.00027251
                     37,                0.43633,                0.28588,                0.86827,                0.87833,                 0.8684,                0.92087,                0.73681,                0.81267,                0.54938,                 1.0215,             0.00026838,             0.00026838,             0.00026838
                     38,                0.43896,                0.28592,                0.86926,                 0.8899,                0.86184,                0.93122,                0.74121,                0.80327,                0.51857,                  1.011,             0.00026425,             0.00026425,             0.00026425
                     39,                0.43319,                0.28816,                0.86894,                0.90036,                0.83455,                0.92202,                0.73878,                0.80628,                0.53854,                 1.0224,             0.00026012,             0.00026012,             0.00026012
                     40,                0.42474,                0.28065,                0.86923,                0.87342,                0.89266,                0.93078,                0.74311,                0.80033,                0.51317,                 1.0155,               0.000256,               0.000256,               0.000256
                     41,                0.43242,                0.28052,                 0.8705,                0.89095,                0.86809,                0.93753,                0.75034,                0.80283,                 0.5132,                  1.025,             0.00025187,             0.00025187,             0.00025187
                     42,                0.42773,                0.28095,                0.86834,                0.90674,                0.85316,                0.92975,                 0.7453,                0.80339,                 0.5203,                 1.0194,             0.00024774,             0.00024774,             0.00024774
                     43,                0.42607,                0.27274,                0.86648,                0.89708,                0.84406,                0.93118,                0.74919,                 0.7914,                0.51108,                 1.0065,             0.00024361,             0.00024361,             0.00024361
                     44,                0.42653,                0.27386,                0.86733,                0.91553,                0.86214,                0.93748,                0.75385,                0.79741,                0.49326,                 1.0091,             0.00023948,             0.00023948,             0.00023948
                     45,                0.42125,                0.27235,                 0.8678,                 0.9005,                0.85822,                0.92879,                 0.7476,                0.79717,                0.51323,                 1.0132,             0.00023535,             0.00023535,             0.00023535
                     46,                0.41528,                0.26401,                0.86341,                0.91183,                0.86413,                 0.9352,                0.75176,                0.79223,                  0.498,                  1.007,             0.00023123,             0.00023123,             0.00023123
                     47,                0.41901,                0.26991,                0.86589,                0.87448,                0.87411,                0.93158,                0.74644,                0.79601,                0.50621,                 1.0149,              0.0002271,              0.0002271,              0.0002271
                     48,                0.41526,                0.26802,                0.86365,                0.90314,                0.87919,                0.93947,                0.75276,                0.80077,                0.49287,                 1.0309,             0.00022297,             0.00022297,             0.00022297
                     49,                0.40768,                 0.2587,                0.86209,                0.89986,                0.86718,                0.93331,                 0.7475,                0.80635,                0.50158,                 1.0177,             0.00021884,             0.00021884,             0.00021884
                     50,                0.40895,                0.26392,                0.86215,                0.87534,                0.83903,                0.92392,                0.74104,                 0.7949,                0.52524,                 1.0168,             0.00021471,             0.00021471,             0.00021471
                     51,                 0.4072,                0.26209,                0.86101,                0.88178,                0.86546,                0.93052,                0.74578,                0.80087,                0.52579,                0.99914,             0.00021059,             0.00021059,             0.00021059
                     52,                0.40722,                0.26058,                0.86034,                0.90135,                0.86501,                0.92564,                0.74414,                 0.7932,                0.50867,                 1.0071,             0.00020646,             0.00020646,             0.00020646
                     53,                0.40759,                0.25986,                 0.8594,                0.89723,                0.87088,                0.93744,                 0.7535,                  0.793,                0.49002,                 1.0085,             0.00020233,             0.00020233,             0.00020233
                     54,                0.39675,                0.25502,                0.85691,                0.91009,                0.85975,                 0.9384,                0.75623,                0.78875,                0.48974,                 1.0109,              0.0001982,              0.0001982,              0.0001982
                     55,                0.40094,                0.25323,                 0.8601,                0.90463,                0.88899,                0.94261,                0.76012,                0.78905,                0.46509,                 1.0034,             0.00019407,             0.00019407,             0.00019407
                     56,                0.39536,                0.24948,                0.85731,                0.90671,                0.87456,                0.94266,                0.76216,                0.78198,                0.46722,                0.99682,             0.00018994,             0.00018994,             0.00018994
                     57,                0.39139,                0.24684,                 0.8529,                0.89763,                0.88842,                0.94355,                0.75981,                0.79149,                0.46125,                 1.0061,             0.00018582,             0.00018582,             0.00018582
                     58,                0.38744,                0.24297,                0.85472,                0.91389,                0.86086,                0.93505,                0.75356,                0.79138,                0.50518,                 1.0027,             0.00018169,             0.00018169,             0.00018169
                     59,                0.38882,                0.24578,                0.85719,                0.91051,                0.86728,                 0.9418,                0.75642,                0.79085,                0.47894,                 1.0056,             0.00017756,             0.00017756,             0.00017756
                     60,                0.38539,                0.24243,                0.85243,                 0.9057,                0.87156,                0.94643,                0.76255,                0.79093,                0.46698,                 1.0031,             0.00017343,             0.00017343,             0.00017343
                     61,                0.38625,                 0.2395,                0.85295,                0.89728,                0.89743,                0.94997,                0.76656,                 0.7874,                0.45177,                 1.0021,              0.0001693,              0.0001693,              0.0001693
                     62,                0.38744,                0.24637,                0.85431,                 0.9298,                0.88531,                0.95201,                0.76491,                0.79063,                0.45989,                 1.0004,             0.00016517,             0.00016517,             0.00016517
                     63,                0.37589,                 0.2372,                0.85053,                0.89197,                0.89335,                0.94228,                0.76095,                0.78398,                0.48199,                 1.0076,             0.00016105,             0.00016105,             0.00016105
                     64,                0.38349,                0.23755,                0.85464,                0.92398,                0.88255,                0.94216,                 0.7609,                 0.7856,                0.45935,                 1.0155,             0.00015692,             0.00015692,             0.00015692
                     65,                0.38068,                0.23531,                0.85255,                0.90752,                0.89142,                0.94435,                0.76644,                0.77725,                0.46642,                 1.0057,             0.00015279,             0.00015279,             0.00015279
                     66,                0.37868,                0.23453,                0.85211,                0.91879,                0.88654,                0.94662,                0.76489,                 0.7808,                0.45547,                 1.0103,             0.00014866,             0.00014866,             0.00014866
                     67,                0.37845,                0.23837,                0.85434,                0.90823,                0.88771,                0.93871,                0.75795,                0.78381,                0.47854,                 1.0131,             0.00014453,             0.00014453,             0.00014453
                     68,                0.37696,                0.23397,                0.85078,                0.91546,                0.87247,                0.94601,                0.76506,                0.78247,                0.45955,                 1.0029,              0.0001404,              0.0001404,              0.0001404
                     69,                 0.3757,                0.23214,                0.85203,                0.90961,                0.89695,                0.94617,                0.76679,                0.77815,                0.45385,                0.99898,             0.00013628,             0.00013628,             0.00013628
                     70,                0.37592,                0.23357,                0.85335,                0.88984,                0.88239,                0.94158,                0.76366,                0.78099,                 0.4797,                 0.9988,             0.00013215,             0.00013215,             0.00013215
                     71,                0.36901,                0.22755,                0.85095,                0.90058,                0.89257,                0.94862,                0.76799,                0.77929,                0.44329,                 0.9992,             0.00012802,             0.00012802,             0.00012802
                     72,                0.36784,                0.22418,                0.85103,                0.91235,                0.90021,                0.95464,                0.77275,                0.78373,                0.43892,                 1.0102,             0.00012389,             0.00012389,             0.00012389
                     73,                0.36808,                0.22983,                0.85051,                0.92348,                0.90181,                0.95524,                0.77552,                0.77774,                0.43431,                0.99978,             0.00011976,             0.00011976,             0.00011976
                     74,                0.36475,                0.22599,                0.84465,                0.90841,                0.91093,                 0.9548,                0.77538,                0.77621,                0.43415,                0.98875,             0.00011563,             0.00011563,             0.00011563
                     75,                0.36492,                0.22561,                0.84623,                 0.9095,                0.89675,                0.95055,                0.77204,                0.77774,                 0.4425,                0.99481,             0.00011151,             0.00011151,             0.00011151
                     76,                0.36091,                0.21791,                0.84428,                 0.9197,                0.90433,                0.95351,                0.77488,                0.77263,                0.43753,                0.98624,             0.00010738,             0.00010738,             0.00010738
                     77,                0.36029,                0.21739,                 0.8428,                0.90929,                0.91125,                0.95556,                0.77587,                0.77751,                0.43099,                0.99153,             0.00010325,             0.00010325,             0.00010325
                     78,                0.36022,                0.22141,                0.84549,                0.91104,                 0.9044,                0.95176,                0.77239,                 0.7758,                0.44101,                0.99158,             9.9121e-05,             9.9121e-05,             9.9121e-05
                     79,                0.35358,                0.21197,                0.84322,                0.91938,                0.90589,                0.95453,                0.77608,                0.77254,                0.43605,                0.98562,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     80,                0.35621,                0.21667,                0.84391,                0.92308,                0.90006,                  0.955,                0.77707,                0.77219,                0.42799,                0.98752,             9.0864e-05,             9.0864e-05,             9.0864e-05
                     81,                0.35947,                0.21583,                0.84472,                0.92387,                0.88812,                0.95291,                0.77442,                0.77021,                0.44161,                0.98472,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     82,                0.35626,                0.21555,                0.84304,                  0.918,                0.90134,                0.95799,                0.77852,                0.77459,                0.42492,                0.99039,             8.2608e-05,             8.2608e-05,             8.2608e-05
                     83,                0.35246,                0.21087,                0.84291,                0.91167,                0.90559,                0.95644,                0.77895,                0.77094,                0.42575,                0.98632,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     84,                0.34744,                0.20979,                0.84144,                 0.9165,                 0.8991,                0.95377,                0.77622,                0.77318,                0.43783,                0.98945,             7.4351e-05,             7.4351e-05,             7.4351e-05
                     85,                0.34866,                0.21169,                0.84118,                0.92489,                0.90009,                0.95665,                0.77803,                0.77247,                0.41756,                0.98765,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     86,                0.34945,                0.21018,                0.83997,                0.92406,                0.91448,                0.95963,                0.78192,                0.76944,                0.41182,                0.98561,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     87,                0.34676,                0.20755,                 0.8411,                 0.9125,                0.90946,                0.95598,                   0.78,                0.76887,                0.42344,                0.98661,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     88,                0.34761,                0.20763,                0.84237,                0.92549,                0.90301,                0.95668,                0.77925,                0.77258,                0.42844,                0.98772,             5.7838e-05,             5.7838e-05,             5.7838e-05
                     89,                0.34463,                0.20844,                0.84268,                0.91726,                0.91166,                0.95744,                0.77967,                0.77068,                 0.4148,                0.99123,              5.371e-05,              5.371e-05,              5.371e-05
                     90,                0.34115,                0.20346,                0.84103,                 0.9127,                0.90286,                0.95295,                0.77721,                0.76992,                0.43889,                0.99108,             4.9581e-05,             4.9581e-05,             4.9581e-05
                     91,                 0.7072,                0.34205,                0.96632,                0.91195,                0.90888,                0.96013,                0.77861,                0.77433,                0.40957,                  0.987,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     92,                0.69366,                0.32661,                 0.9483,                0.92896,                0.88823,                0.95739,                 0.7779,                0.77109,                0.42054,                0.98108,             4.1325e-05,             4.1325e-05,             4.1325e-05
                     93,                0.69348,                0.33017,                0.95446,                0.92361,                0.90601,                0.95917,                0.77974,                0.76944,                0.40795,                0.98106,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     94,                0.68289,                0.32091,                0.94911,                0.92144,                0.91125,                0.96198,                0.78309,                0.76608,                0.40394,                0.98319,             3.3068e-05,             3.3068e-05,             3.3068e-05
                     95,                0.67746,                 0.3139,                0.94454,                0.94076,                0.89339,                0.96189,                 0.7836,                0.76576,                0.40283,                0.98303,              2.894e-05,              2.894e-05,              2.894e-05
                     96,                0.67485,                0.30898,                0.94628,                 0.9292,                0.90345,                0.96115,                0.78414,                0.76456,                0.40212,                0.98579,             2.4812e-05,             2.4812e-05,             2.4812e-05
                     97,                0.67285,                0.30568,                0.94553,                 0.9211,                0.91241,                0.96316,                0.78714,                0.76347,                0.39636,                0.98422,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     98,                0.67129,                0.30572,                0.94518,                 0.9244,                0.90594,                0.96226,                 0.7865,                0.76312,                0.40368,                0.98323,             1.6555e-05,             1.6555e-05,             1.6555e-05
                     99,                0.66838,                0.30498,                0.94271,                0.93814,                 0.8978,                0.96328,                0.78631,                0.76274,                0.39718,                0.98222,             1.2427e-05,             1.2427e-05,             1.2427e-05
                    100,                0.66996,                0.30649,                0.94357,                0.93398,                0.90526,                0.96311,                0.78683,                0.76293,                0.39925,                 0.9813,             8.2983e-06,             8.2983e-06,             8.2983e-06
