                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63223,                0.53994,                0.89382,                0.72488,                0.72719,                0.78501,                0.59315,                0.91138,                0.91492,                 0.9817,             0.00027251,             0.00027251,             0.00027251
                     37,                0.62662,                0.53756,                0.89264,                0.75215,                0.75008,                0.81288,                0.61748,                0.90033,                0.84752,                0.97756,             0.00026838,             0.00026838,             0.00026838
                     38,                 0.6327,                0.53536,                0.89375,                0.72749,                0.72407,                0.79246,                0.60006,                0.90917,                0.88446,                0.97612,             0.00026425,             0.00026425,             0.00026425
                     39,                0.63512,                0.53641,                0.89404,                0.73911,                0.75885,                0.79961,                0.60617,                0.91254,                 0.8648,                0.97733,             0.00026012,             0.00026012,             0.00026012
                     40,                0.61866,                0.51833,                0.89335,                0.74318,                0.74046,                0.80651,                0.61285,                0.90686,                0.85531,                0.97737,               0.000256,               0.000256,               0.000256
                     41,                0.63005,                0.52403,                0.89369,                0.71675,                0.76691,                0.80707,                0.61737,                0.89752,                  0.854,                0.96966,             0.00025187,             0.00025187,             0.00025187
                     42,                0.62272,                0.51976,                0.89225,                0.72851,                0.75752,                0.80574,                0.61452,                 0.8983,                0.86376,                0.97626,             0.00024774,             0.00024774,             0.00024774
                     43,                0.62188,                0.51277,                0.89266,                0.72726,                0.77178,                0.80896,                 0.6168,                 0.8977,                 0.8667,                 0.9757,             0.00024361,             0.00024361,             0.00024361
                     44,                0.61343,                0.51021,                0.89026,                0.78177,                0.72739,                0.81473,                0.61691,                0.91121,                0.86661,                0.98075,             0.00023948,             0.00023948,             0.00023948
                     45,                0.61053,                0.50548,                 0.8896,                0.74326,                0.75958,                0.81661,                0.62432,                 0.9055,                0.85792,                0.98213,             0.00023535,             0.00023535,             0.00023535
                     46,                0.60524,                0.50233,                0.88526,                0.76846,                0.73833,                 0.8211,                0.62524,                0.89758,                0.84284,                0.97868,             0.00023123,             0.00023123,             0.00023123
                     47,                0.60858,                0.50252,                0.88908,                0.73908,                0.76914,                 0.8122,                0.62078,                0.90009,                0.84396,                0.97713,              0.0002271,              0.0002271,              0.0002271
                     48,                0.60651,                0.49908,                0.88804,                0.73185,                0.76944,                0.81065,                0.61919,                0.89663,                 0.8379,                0.97975,             0.00022297,             0.00022297,             0.00022297
                     49,                0.59873,                0.48587,                0.88454,                0.76664,                0.76465,                0.82547,                0.63049,                0.89578,                0.81294,                 0.9744,             0.00021884,             0.00021884,             0.00021884
                     50,                0.60269,                0.48787,                0.88711,                0.75783,                0.76408,                0.82432,                0.62852,                0.89856,                0.81539,                 0.9749,             0.00021471,             0.00021471,             0.00021471
                     51,                0.59461,                0.48248,                 0.8844,                0.74598,                0.78265,                 0.8216,                0.62674,                 0.8954,                0.80247,                0.97326,             0.00021059,             0.00021059,             0.00021059
                     52,                0.59559,                0.48198,                0.88426,                0.77469,                0.74555,                0.82578,                0.63179,                0.88904,                0.80833,                0.97135,             0.00020646,             0.00020646,             0.00020646
                     53,                0.60046,                0.48502,                0.88568,                0.77393,                0.77673,                0.83856,                0.63961,                0.89382,                0.79418,                0.97329,             0.00020233,             0.00020233,             0.00020233
                     54,                0.59481,                0.48389,                0.88658,                0.77976,                 0.7644,                0.83354,                0.63612,                0.90192,                0.78825,                  0.979,              0.0001982,              0.0001982,              0.0001982
